Type,Deployment ID,Date,Time,Latitude,Longitude,Cluster
Surface Turtle,S5090,11/20/2019,6:26,41.8802,-70.1183,2
Surface Turtle,S5090,11/20/2019,7:26,41.8689,-70.1105,2
Surface Turtle,S5090,11/20/2019,8:26,41.8598,-70.1053,2
Surface Turtle,S5090,11/20/2019,9:26,41.8547,-70.1084,2
Surface Turtle,S5090,11/20/2019,10:26,41.8532,-70.1178,2
Surface Turtle,S5090,11/20/2019,11:26,41.8543,-70.1311,2
Surface Turtle,S5090,11/20/2019,12:26,41.8571,-70.1446,2
Surface Turtle,S5090,11/20/2019,13:26,41.8583,-70.1536,2
Surface Turtle,S5090,11/20/2019,13:32,41.8584,-70.1542,2
Surface,1904107013,11/19/2019,15:26,41.8969,-70.1343,2
Surface,1904107013,11/19/2019,15:31,41.897103,-70.133607,2
Surface,1904107013,11/19/2019,16:17,41.896062,-70.129724,2
Surface,1904107013,11/19/2019,17:22,41.893187,-70.124617,2
Surface,1904107013,11/19/2019,18:34,41.888895,-70.118995,2
Surface,1904107013,11/19/2019,19:28,41.88529,-70.114875,2
Surface,1904107013,11/19/2019,20:19,41.883327,-70.112214,2
Surface,1904107013,11/19/2019,21:36,41.886299,-70.113781,2
Surface,1904107013,11/19/2019,22:18,41.890311,-70.115776,2
Surface,1904107013,11/19/2019,23:28,41.897907,-70.117857,2
Surface,1904107013,11/20/2019,0:20,41.903626,-70.119038,2
Surface,1904107013,11/20/2019,1:29,41.911393,-70.121355,2
Surface,1904107013,11/20/2019,2:31,41.916983,-70.122621,2
Surface,1904107013,11/20/2019,3:35,41.918786,-70.122428,2
Surface,1904107013,11/20/2019,4:37,41.91782,-70.120819,2
Surface,1904107013,11/20/2019,5:23,41.914966,-70.11833,2
Surface,1904107013,11/20/2019,6:29,41.910514,-70.115025,2
Surface,1904107013,11/20/2019,7:41,41.904742,-70.111463,2
Surface,1904107013,11/20/2019,8:35,41.899034,-70.108502,2
Surface,1904107013,11/20/2019,9:21,41.89647,-70.108695,2
Surface,1904107013,11/20/2019,10:36,41.897156,-70.112364,2
Surface,1904107013,11/20/2019,11:34,41.899956,-70.116227,2
Surface,1904107013,11/20/2019,12:32,41.9034,-70.120111,2
Surface,1904107013,11/20/2019,13:37,41.907316,-70.123973,2
Sub-surface turtle,1904107012,11/19/2019,15:26,41.8969,-70.1343,2
Sub-surface turtle,1904107012,11/19/2019,16:25,41.896749,-70.128629,2
Sub-surface turtle,1904107012,11/19/2019,17:19,41.895043,-70.12363,2
Sub-surface turtle,1904107012,11/19/2019,18:21,41.891985,-70.118008,2
Sub-surface turtle,1904107012,11/19/2019,19:21,41.887747,-70.111592,2
Sub-surface turtle,1904107012,11/19/2019,20:35,41.884207,-70.106034,2
Sub-surface turtle,1904107012,11/19/2019,21:46,41.8872,-70.107386,2
Sub-surface turtle,1904107012,11/19/2019,22:30,41.892543,-70.109382,2
Sub-surface turtle,1904107012,11/19/2019,23:33,41.897317,-70.110497,2
Sub-surface turtle,1904107012,11/20/2019,0:42,41.901501,-70.112472,2
Sub-surface turtle,1904107012,11/20/2019,1:19,41.904924,-70.115776,2
Sub-surface turtle,1904107012,11/20/2019,2:19,41.907992,-70.11863,2
Sub-surface turtle,1904107012,11/20/2019,3:21,41.907692,-70.120475,2
Sub-surface turtle,1904107012,11/20/2019,4:22,41.903765,-70.120647,2
Sub-surface turtle,1904107012,11/20/2019,5:26,41.897167,-70.119424,2
Sub-surface turtle,1904107012,11/20/2019,6:25,41.890901,-70.117385,2
Sub-surface turtle,1904107012,11/20/2019,7:32,41.881288,-70.112729,2
Sub-surface turtle,1904107012,11/20/2019,8:31,41.877469,-70.109274,2
Sub-surface turtle,1904107012,11/20/2019,9:30,41.874658,-70.110261,2
Sub-surface turtle,1904107012,11/20/2019,10:17,41.874454,-70.115175,2
Sub-surface turtle,1904107012,11/20/2019,11:33,41.876729,-70.125003,2
Sub-surface turtle,1904107012,11/20/2019,12:43,41.878788,-70.130754,2
Miniboat,1904107020,11/26/2019,20:40,41.8991,-70.1354,3
Miniboat,1904107020,11/26/2019,21:22,41.922069,-70.115562,3
Miniboat,1904107020,11/26/2019,23:08,41.972816,-70.077839,3
Surface Turtle,S5096,11/26/2019,20:40,41.8991,-70.1354,3
Surface Turtle,S5096,11/26/2019,21:40,41.908,-70.1316,3
Surface Turtle,S5096,11/26/2019,22:40,41.9111,-70.1257,3
Surface Turtle,S5096,11/26/2019,23:20,41.9121,-70.1212,3
Surface,1904107019 ,11/26/2019,20:40,41.8991,-70.1354,3
Surface,1904107019 ,11/26/2019,21:36,41.904817,-70.13438,3
Surface,1904107019 ,11/26/2019,22:34,41.906844,-70.130925,3
Surface,1904107019 ,11/26/2019,23:35,41.905053,-70.125046,3
Sub-surface turtle,1904107018,11/26/2019,20:40,41.8991,-70.1354,3
Sub-surface turtle,1904107018,11/26/2019,20:51,41.894925,-70.135667,3
Sub-surface turtle,1904107018,11/26/2019,21:31,41.905632,-70.133479,3
Sub-surface turtle,1904107018,11/26/2019,22:34,41.908497,-70.129101,3
Sub-surface turtle,1904107018,11/26/2019,23:38,41.907338,-70.122449,3
